IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,IP_SRC_ADDR,IP_DST_ADDR,PROTOCOL,L4_SRC_PORT,L4_DST_PORT,TOS,DST_TOS,TCP_FLAGS,start_time,end_time,src_region,dst_region,src_group,dst_group,area,FLOW_SAMPLER_ID,user_scope
498000,3000,0,0,43.134.110.112,101.200.242.144,6,52402,22,0,0,24,2024-07-23 16:14:32,2024-07-23 16:14:32,0,0,99,99,110000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55620,0,0,24,2024-07-23 18:30:57,2024-07-23 18:30:57,110000,0,3,99,110000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55628,0,0,24,2024-07-23 18:30:59,2024-07-23 18:30:59,110000,0,3,99,110000,,1
198000,3000,0,0,43.134.58.134,101.200.242.144,6,51258,22,0,0,16,2024-07-23 00:21:58,2024-07-23 00:21:58,0,0,99,99,110000,,1
402000,3000,0,0,1.238.106.229,101.200.242.144,6,55515,22,0,0,24,2024-07-23 22:25:32,2024-07-23 22:25:32,0,0,99,99,110000,,1
2708000,2000,0,0,20.150.79.68,101.200.242.144,6,443,56715,0,0,16,2024-07-23 19:14:48,2024-07-23 19:14:48,0,0,99,99,,,1
120000,2000,0,0,106.75.133.83,101.200.242.144,6,58914,27015,0,0,2,2024-07-23 00:06:27,2024-07-23 00:06:27,440000,0,3,99,440000,,1
1732000,2000,0,0,101.200.242.144,59.0.91.47,6,22,59190,0,0,24,2024-07-23 07:27:48,2024-07-23 07:27:48,0,0,99,99,110000,,1
290000,2000,0,0,34.240.117.4,101.200.242.144,6,443,55913,0,0,24,2024-07-23 18:40:10,2024-07-23 18:40:10,0,0,99,99,,,1
140000,2000,0,0,162.19.248.235,101.200.242.144,6,38240,22,0,0,16,2024-07-23 07:18:44,2024-07-23 07:18:44,0,0,99,99,,,1
180000,3000,0,0,101.200.242.144,23.200.74.41,6,52492,443,0,0,16,2024-07-23 14:09:59,2024-07-23 14:09:59,0,0,99,99,110000,,1
120000,2000,0,0,101.200.242.144,164.90.213.180,6,29839,37408,0,0,20,2024-07-23 14:16:49,2024-07-23 14:16:49,0,0,99,99,110000,,1
240000,2000,0,0,43.134.110.112,101.200.242.144,6,56842,22,0,0,24,2024-07-23 16:08:33,2024-07-23 16:08:33,0,0,99,99,,,1
304000,2000,0,0,114.206.23.151,101.200.242.144,6,35318,22,0,0,24,2024-07-23 22:39:11,2024-07-23 22:39:11,0,0,99,99,310000,,1
124000,2000,0,0,35.203.210.224,101.200.242.144,6,54943,36399,0,0,2,2024-07-23 15:05:59,2024-07-23 15:05:59,0,0,99,99,,,1
1362000,3000,0,0,101.200.242.144,146.59.150.84,6,22,55368,0,0,24,2024-07-23 13:17:59,2024-07-23 13:17:59,0,0,99,99,110000,,1
2708000,2000,0,0,34.240.117.4,101.200.242.144,6,443,56512,0,0,16,2024-07-23 19:00:10,2024-07-23 19:00:10,0,0,99,99,,,1
180000,3000,0,0,101.200.242.144,134.122.64.18,6,24754,44139,0,0,20,2024-07-23 22:32:37,2024-07-23 22:32:37,0,0,99,99,110000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55620,0,0,24,2024-07-23 18:31:09,2024-07-23 18:31:09,110000,0,3,99,110000,,1
198000,3000,0,0,101.200.242.144,190.174.19.127,6,22,21507,0,0,16,2024-07-23 04:23:50,2024-07-23 04:23:50,0,0,99,99,110000,,1
120000,2000,0,0,101.200.242.144,162.216.150.39,6,49724,53326,0,0,20,2024-07-23 04:04:19,2024-07-23 04:04:19,0,0,99,99,110000,,1
180000,3000,0,0,101.200.242.144,34.240.117.4,6,55515,443,0,0,16,2024-07-23 18:30:24,2024-07-23 18:30:24,0,0,99,99,110000,,1
268000,2000,0,0,101.200.242.144,43.134.66.16,6,22,46816,0,0,24,2024-07-23 19:58:42,2024-07-23 19:58:42,0,0,99,99,110000,,1
124000,2000,0,0,35.203.210.178,101.200.242.144,6,51804,830,0,0,2,2024-07-23 11:16:24,2024-07-23 11:16:24,0,0,99,99,,,1
250000,2000,0,0,110.249.194.78,101.200.242.144,6,80,61077,0,0,24,2024-07-23 12:38:58,2024-07-23 12:38:58,130000,0,3,99,130000,,1
180000,3000,0,0,101.200.242.144,172.104.60.249,6,23339,47335,0,0,20,2024-07-23 06:28:27,2024-07-23 06:28:27,0,0,99,99,110000,,1
4026000,3000,0,0,111.203.202.58,101.200.242.144,6,80,55084,0,0,24,2024-07-23 18:24:31,2024-07-23 18:24:31,110000,0,3,99,110000,,1
180000,3000,0,0,101.200.242.144,157.245.57.39,6,28859,54745,0,0,20,2024-07-23 03:41:18,2024-07-23 03:41:18,0,0,99,99,110000,,1
120000,2000,0,0,101.200.242.144,143.42.74.159,6,23384,40679,0,0,20,2024-07-23 10:16:01,2024-07-23 10:16:01,0,0,99,99,110000,,1
1732000,2000,0,0,101.200.242.144,95.255.108.3,6,22,50538,0,0,24,2024-07-23 11:10:38,2024-07-23 11:10:38,0,0,99,99,110000,,1
2092000,2000,0,0,51.75.170.22,101.200.242.144,6,33888,22,0,0,24,2024-07-23 11:15:02,2024-07-23 11:15:02,0,0,99,99,,,1
148000,2000,0,0,167.94.145.106,101.200.242.144,6,59546,135,0,0,2,2024-07-23 22:51:34,2024-07-23 22:51:34,0,0,99,99,,,1
132000,2000,0,0,101.200.242.144,43.156.30.2,6,22,52086,0,0,16,2024-07-23 00:14:40,2024-07-23 00:14:40,0,0,99,99,110000,,1
2708000,2000,0,0,20.209.194.1,101.200.242.144,6,443,56713,0,0,16,2024-07-23 19:14:09,2024-07-23 19:14:09,0,0,99,99,,,1
180000,3000,0,0,101.200.242.144,111.203.202.58,6,55082,80,0,0,16,2024-07-23 18:24:22,2024-07-23 18:24:22,0,110000,99,3,110000,,1
180000,3000,0,0,101.200.242.144,111.203.202.58,6,55084,80,0,0,16,2024-07-23 18:24:27,2024-07-23 18:24:27,0,110000,99,3,110000,,1
198000,3000,0,0,101.200.242.144,43.131.6.85,6,22,52424,0,0,16,2024-07-23 04:36:26,2024-07-23 04:36:26,0,0,99,99,110000,,1
80000,2000,0,0,139.162.60.73,101.200.242.144,6,45182,23479,0,0,4,2024-07-23 00:37:46,2024-07-23 00:37:46,0,0,99,99,,,1
332000,2000,0,0,101.200.242.144,101.32.141.245,6,22,36476,0,0,24,2024-07-23 11:25:05,2024-07-23 11:25:05,0,0,99,99,110000,,1
180000,3000,0,0,45.79.109.193,101.200.242.144,6,37418,49683,0,0,2,2024-07-23 19:49:38,2024-07-23 19:49:38,0,0,99,99,110000,,1
228000,2000,0,0,61.138.113.187,101.200.242.144,6,38280,22,0,0,24,2024-07-23 10:28:18,2024-07-23 10:28:18,150000,0,3,99,150000,,1
340000,2000,0,0,162.19.248.235,101.200.242.144,6,53722,22,0,0,24,2024-07-23 07:26:47,2024-07-23 07:26:47,0,0,99,99,,,1
